fs.read|Filesystem|filesystem.read|readFile
fs.exists|Filesystem|filesystem.read|exists
fs.metadata|Filesystem|filesystem.read|metadata
fs.list|Filesystem|filesystem.read|listDirectory
fs.append|Filesystem|filesystem.write|appendFile
fs.copy|Filesystem|filesystem.write|copyFile
fs.mkdir|Filesystem|filesystem.write|createDirectory
fs.readDirRaw|Filesystem|filesystem.read|readRaw
fs.write|Filesystem|filesystem.write|writeFile
fs.delete|Filesystem|filesystem.write|deleteFile
fs.rename|Filesystem|filesystem.write|renameFile
fs.rollbackRestore|Filesystem|filesystem.write|restoreBackup
ws.open|Workspace||workspace.open
ws.snapshot|Workspace||workspace.snapshot
ws.diff|Workspace||workspace.diff
ws.findSymbol|Workspace||workspace.findSymbol
ws.findFile|Workspace||workspace.findFile
ws.graph|Workspace||workspace.graph
ws.invalidate|Workspace|filesystem.write|workspace.invalidate
search.text|Search|filesystem.read|search.text
search.symbol|Search|filesystem.read|search.symbol
search.path|Search|filesystem.read|search.path
patch.file|Patch|filesystem.write|patch.file
patch.replace|Patch|filesystem.write|patch.replace
patch.append|Patch|filesystem.write|patch.append
diff.file|Diff|filesystem.read|diff.file
git.branch|Git|filesystem.read|git.branch
git.log|Git|filesystem.read|git.log
compiler.check|Compiler|compiler.execute|check
compiler.build|Compiler|compiler.execute|build
compiler.run|Compiler|compiler.execute|run
compiler.diagnostics|Diagnostics|compiler.execute|diagnostics
ast.findNode|AST||findNode
web.request|Web|web.network|request
http.request|HTTP|web.network|httpRequest
system.exec|System|system.execute|exec
ui.preview|UI||preview
